hour,CLR,FEW,SCT,BKN,OVC,VV,BKN+OVC,BKN+OVC+VV,N
0,31.962519521082772,11.972930765226444,13.53461738677772,20.978656949505467,21.5512753774076,0.0,42.52993232691307,42.52993232691307,1921
1,33.71310201967893,9.47695494562403,12.687726566545832,19.782496116002072,24.339720352149147,0.0,44.12221646815122,44.12221646815122,1931
2,33.71310201967893,9.528741584671154,10.564474365613671,18.798549974106677,27.343345416882443,0.05178663904712584,46.14189539098912,46.19368203003624,1931
3,32.57379596064215,8.285862247540136,9.58052822371828,18.4360435007768,31.12377006732263,0.0,49.55981356809943,49.55981356809943,1931
4,30.103626943005178,8.031088082901555,9.585492227979273,17.253886010362695,34.92227979274611,0.10362694300518134,52.1761658031088,52.27979274611398,1930
5,21.887966804979254,11.307053941908714,10.632780082987551,18.87966804979253,37.03319502074689,0.2593360995850622,55.912863070539416,56.17219917012448,1928
6,12.719751809720787,14.322647362978284,12.047569803516028,23.26783867631851,36.970010341261634,0.672182006204757,60.237849017580146,60.9100310237849,1934
7,11.19751166407465,15.085536547433904,9.434940383618455,27.371695178849144,35.71798859512701,1.1923276308968378,63.089683773976155,64.28201140487299,1929
8,11.66407465007776,14.152410575427682,10.057024364955936,25.34992223950233,37.636080870917574,1.1404872991187145,62.9860031104199,64.12649040953862,1929
9,11.18591403417918,14.552045572242362,10.616261004660798,26.359399274987055,36.561367167270845,0.7250129466597618,62.9207664422579,63.64577938891766,1931
10,11.50259067357513,14.922279792746112,10.984455958549223,29.22279792746114,33.160621761658035,0.20725388601036268,62.38341968911918,62.59067357512954,1930
11,11.261027503892059,16.294758692267774,11.157239231966788,32.381940840685004,28.90503373118837,0.0,61.28697457187337,61.28697457187337,1927
12,11.358921161825727,18.04979253112033,14.263485477178422,33.86929460580913,22.45850622406639,0.0,56.32780082987552,56.32780082987552,1928
13,11.139896373056994,19.067357512953368,15.544041450777202,35.44041450777202,18.808290155440417,0.0,54.248704663212436,54.248704663212436,1930
14,9.891248058001036,21.54324184360435,17.866390471258413,36.25064733298809,14.44847229414811,0.0,50.6991196271362,50.6991196271362,1931
15,9.062661833247022,21.853961677887103,20.093215950284826,35.57742102537546,13.412739513205594,0.0,48.99016053858105,48.99016053858105,1931
16,9.694142042509073,20.632452047693107,22.032141005702435,34.52566096423017,13.115603939865213,0.0,47.64126490409538,47.64126490409538,1929
17,8.695652173913043,21.842650103519667,22.9296066252588,33.799171842650104,12.732919254658384,0.0,46.53209109730849,46.53209109730849,1932
18,8.566978193146417,21.599169262720665,24.87019730010384,33.07372793354102,11.889927310488059,0.0,44.963655244029084,44.963655244029084,1926
19,9.849663037843442,21.928460342146188,23.224468636599273,33.38517366511146,11.612234318299636,0.0,44.997407983411094,44.997407983411094,1929
20,11.128364389233955,20.755693581780537,22.61904761904762,34.21325051759834,11.283643892339544,0.0,45.49689440993788,45.49689440993788,1932
21,12.072538860103627,22.020725388601036,21.968911917098445,31.865284974093267,12.072538860103627,0.0,43.93782383419689,43.93782383419689,1930
22,19.022869022869024,20.426195426195427,19.43866943866944,27.96257796257796,13.14968814968815,0.0,41.11226611226611,41.11226611226611,1924
23,27.13097713097713,15.644490644490643,17.151767151767153,22.60914760914761,17.463617463617464,0.0,40.07276507276507,40.07276507276507,1924
