hour,CLR,FEW,SCT,BKN,OVC,VV,BKN+OVC,BKN+OVC+VV,N
0,12.147161433555343,5.423406279733587,8.468125594671742,17.348556929908025,54.709800190294956,1.9029495718363463,72.05835712020298,73.96130669203933,3153
1,11.738718838750394,5.585358157147366,7.952035342379299,17.260965604291574,55.2224676554118,2.2404544020195645,72.48343325970338,74.72388766172294,3169
2,11.313068003760577,5.358821685991852,7.521153243497336,17.51801942964588,55.56251958633657,2.7264180507677844,73.08053901598245,75.80695706675024,3191
3,10.558021559923906,4.882688649334179,7.989854153455929,17.184527584020294,56.27774254914394,3.1071655041217503,73.46227013316422,76.56943563728598,3154
4,9.917877447883765,5.053695514845231,7.296272899557802,18.09854706253948,56.28553379658876,3.3480732785849656,74.38408085912823,77.7321541377132,3166
5,8.956165247555976,5.644906969410281,6.7486597287921795,17.660044150110377,57.04824976348155,3.9419741406496374,74.70829391359193,78.65026805424156,3171
6,7.733585858585859,5.6186868686868685,7.449494949494949,19.66540404040404,55.49242424242424,4.040404040404041,75.15782828282829,79.19823232323233,3168
7,3.815830968148849,6.906338694418164,7.505518763796909,22.579627877641123,55.37685272784611,3.815830968148849,77.95648060548723,81.77231157363607,3171
8,1.8921475875118259,6.0864080731630406,6.811731315042574,28.38221381267739,53.20088300220751,3.6266162093976666,81.5830968148849,85.20971302428256,3171
9,2.0774315391879132,6.263770853005981,6.074913440352534,31.129996852376458,51.40069247717973,3.0531948378973874,82.5306893295562,85.58388416745359,3177
10,1.672979797979798,6.755050505050505,6.660353535353536,32.03914141414141,50.9469696969697,1.9255050505050504,82.98611111111111,84.91161616161617,3168
11,2.0202020202020203,6.123737373737374,7.638888888888889,33.68055555555556,49.46338383838384,1.073232323232323,83.1439393939394,84.21717171717172,3168
12,2.2088987062164724,6.5635847270432315,7.573366992742189,33.85926159671821,49.226885452824234,0.5680025244556642,83.08614704954245,83.65414957399811,3169
13,1.9564531397917324,6.910697380877248,8.48848217103187,34.3010413379615,48.05932470810981,0.2840012622278321,82.3603660460713,82.64436730829914,3169
14,2.1752837326607817,6.58890290037831,9.363177805800756,37.042875157629254,44.546027742749054,0.2837326607818411,81.58890290037832,81.87263556116015,3172
15,2.4012638230647707,5.560821484992101,11.058451816745656,35.70300157977883,45.11848341232228,0.1579778830963665,80.8214849921011,80.97946287519747,3165
16,2.592475497944989,4.8055643376541255,11.444830856781536,36.26304141637686,44.767625671830544,0.12646221941195068,81.0306670882074,81.15712930761934,3163
17,2.694136291600634,5.641838351822504,12.519809825673534,33.882725832012675,45.07131537242473,0.1901743264659271,78.9540412044374,79.14421553090332,3155
18,4.412228175228491,5.767412543334384,13.33123227229751,28.458871730223763,47.68358020800505,0.34667507091080996,76.14245193822882,76.48912700913962,3173
19,7.138344914718889,5.9380922299431464,12.128869235628553,25.33164876816172,49.02084649399874,0.4421983575489577,74.35249526216046,74.79469361970942,3166
20,8.883970913689536,6.133417641479608,12.013910844135314,21.62503951944357,50.61650331963325,0.7271577616187164,72.24154283907683,72.96870060069554,3163
21,10.501419110690634,6.212551245663828,11.19520655944497,19.89908546199937,51.087984862819305,1.1037527593818985,70.98707032481867,72.09082308420058,3171
22,11.244472520530637,6.885660138976626,10.170562223626026,18.76184459886292,51.516108654453575,1.4213518635502211,70.2779532533165,71.69930511686673,3166
23,11.738578680203046,5.488578680203045,10.152284263959391,17.29060913705584,53.93401015228426,1.3959390862944163,71.2246192893401,72.62055837563452,3152
