hour,Nov,Dec,Jan,Feb,Mar,Jun,Jul,Aug
0,71.84,79.01234567901234,77.55417956656346,72.95918367346938,68.26625386996903,57.76,32.6625386996904,37.69230769230769
1,74.56279809220986,78.08641975308642,78.92307692307692,73.4006734006734,68.51851851851852,58.439490445859875,34.20245398773007,40.2457757296467
2,75.15432098765432,79.53846153846153,79.66101694915254,73.52445193929174,70.96774193548387,59.87261146496815,37.576687116564415,41.62826420890937
3,74.44444444444444,81.32716049382715,80.8282208588957,74.49324324324324,71.36075949367088,62.00317965023847,43.625192012288785,43.4715821812596
4,75.28089887640449,81.35593220338984,82.18125960061444,75.16891891891892,74.34715821812597,63.01587301587301,45.84615384615385,48.30769230769231
5,78.5031847133758,81.94444444444444,83.12883435582822,76.0539629005059,73.38461538461539,66.71974522292994,49.61479198767334,52.53456221198156
6,78.59424920127796,82.66871165644172,82.43451463790447,77.32656514382403,74.76923076923076,73.25949367088607,53.83435582822086,56.00000000000001
7,82.80254777070064,82.79569892473118,81.94444444444444,80.43844856661046,80.79877112135176,75.39682539682539,56.15384615384615,61.63328197226502
8,86.44338118022328,85.97842835130972,86.46153846153845,83.33333333333334,83.7173579109063,74.72178060413354,56.39445300462249,61.597542242703526
9,84.10174880763115,89.2638036809816,86.78955453149003,83.30522765598651,84.20245398773007,74.92063492063492,55.84615384615385,60.52227342549923
10,84.44444444444444,87.80864197530865,86.76923076923076,82.37288135593221,82.92307692307692,74.60317460317461,54.54545454545454,58.986175115207374
11,82.48407643312102,86.32872503840245,88.0,81.1864406779661,82.7426810477658,73.52472089314195,52.53456221198156,58.24345146379045
12,81.24006359300478,86.74884437596302,84.76923076923077,81.78752107925801,83.48765432098766,70.15873015873015,47.919876733436055,51.30970724191063
13,81.08108108108108,85.23076923076923,85.36209553158706,80.6070826306914,80.70987654320987,67.77777777777779,45.92933947772657,49.46070878274268
14,81.42857142857143,83.38461538461537,82.76923076923077,81.11298482293424,80.58551617873651,66.5079365079365,40.55299539170507,45.53846153846154
15,80.73248407643312,83.61669242658424,82.89676425269646,80.33613445378151,77.24458204334366,65.07936507936508,37.94162826420891,44.46153846153847
16,79.26634768740031,84.3076923076923,82.6086956521739,80.67796610169492,78.83435582822086,64.44444444444444,35.43913713405239,43.53846153846154
17,77.42448330683625,80.8641975308642,80.80495356037152,79.49152542372882,77.10280373831776,63.33333333333333,34.56221198156682,42.242703533026116
18,73.80952380952381,77.11213517665131,77.38461538461539,75.8445945945946,78.15384615384615,63.1578947368421,34.0,38.366718027734976
19,73.60890302066773,76.92307692307693,74.07407407407408,71.55025553662692,77.45398773006134,62.57961783439491,33.6405529953917,39.38461538461539
20,70.49441786283892,75.96302003081664,75.46296296296296,71.57360406091371,71.14197530864197,61.74603174603175,33.17972350230415,42.08909370199693
21,70.58823529411765,76.38888888888889,76.11026033690659,69.76351351351352,67.33436055469953,60.35031847133758,33.794162826420894,38.24884792626728
22,69.85645933014354,76.85185185185185,73.8863287250384,70.65767284991568,67.07882534775888,56.730769230769226,31.692307692307693,35.53846153846154
23,70.88,78.79256965944272,75.23219814241486,70.91836734693877,67.07882534775888,54.9520766773163,30.615384615384617,35.18518518518518
